lineup_id,players,total_salary,total_exp_fp
1,"9800 (0), 9200 (0), 7600 (0), 8100 (0), 7000 (0), 7400 (0)",0,76.93151958522904
4,"6800 (0), 9200 (0), 8200 (0), 7000 (0), 7400 (0), 7700 (0)",0,78.9386249178275
5,"7600 (0), 8100 (0), 8200 (0), 7000 (0), 8600 (0), 7700 (0)",0,80.92538869762444
6,"9200 (0), 7600 (0), 8100 (0), 7000 (0), 8600 (0), 7700 (0)",0,80.42914124966894
7,"9800 (0), 6800 (0), 9200 (0), 8100 (0), 7000 (0), 8600 (0)",0,78.56892480296213
8,"9800 (0), 6800 (0), 9200 (0), 8100 (0), 8200 (0), 7700 (0)",0,79.49271440825177
11,"9800 (0), 8100 (0), 7000 (0), 8600 (0), 7400 (0), 7700 (0)",0,78.39504952200055
12,"9800 (0), 6800 (0), 9200 (0), 7000 (0), 8600 (0), 7400 (0)",0,79.1299930308967
13,"9800 (0), 7600 (0), 8100 (0), 8200 (0), 8600 (0), 7700 (0)",0,84.05074240501938
14,"9800 (0), 6800 (0), 9200 (0), 8200 (0), 8600 (0), 7400 (0)",0,83.55391681225095
from notify import notify_success

